Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.960366958,1,1,1,0
0.960367083,0,1,0,0
0.960367208,0,1,1,0
0.960367333,0,1,0,0
0.960367375,0,0,0,0
0.960367458,0,0,1,0
0.960367625,0,0,0,0
0.960389708,0,0,1,0
0.960389833,0,0,0,0
0.960389958,0,0,1,0
0.960390083,0,0,0,0
0.960390250,0,0,1,0
0.960390375,0,0,0,0
0.960390500,0,0,1,0
0.960390625,0,0,0,0
0.960390750,0,0,1,0
0.960390875,0,0,0,0
0.960391000,0,0,1,0
0.960391125,0,0,0,0
0.960391250,0,0,1,0
0.960391375,0,0,0,0
0.960391500,0,0,1,0
0.960391625,0,0,0,0
0.960401000,0,0,0,1
0.960431125,0,0,0,0
0.960445542,0,0,1,0
0.960445667,0,0,0,0
0.960445792,0,0,1,0
0.960445917,1,0,0,0
0.960446042,1,0,1,0
0.960446167,0,0,0,0
0.960446292,0,0,1,0
0.960446417,0,0,0,0
0.960446458,0,1,0,0
0.960446583,0,1,1,0
0.960446708,1,1,0,0
0.960446833,1,1,1,0
0.960446958,0,1,0,0
0.960447083,0,1,1,0
0.960447208,0,0,0,0
0.960447333,0,0,1,0
0.960447458,0,0,0,0
0.960470000,0,0,1,0
0.960470125,1,0,0,0
0.960470250,1,0,1,0
0.960470375,1,0,0,0
0.960470500,1,0,1,0
0.960470625,0,0,0,0
0.960470750,0,0,1,0
0.960470875,1,0,0,0
0.960471000,1,0,1,0
0.960471125,0,0,0,0
0.960471250,0,0,1,0
0.960471375,0,0,0,0
0.960471542,0,0,1,0
0.960471667,0,0,0,0
0.960471792,0,0,1,0
0.960471917,0,0,0,0
0.960481667,0,0,0,1
0.960530042,0,0,0,0
0.960543250,0,0,1,0
0.960543375,0,0,0,0
0.960543542,0,0,1,0
0.960543667,0,0,0,0
0.960543792,0,0,1,0
0.960543917,0,0,0,0
0.960544042,0,0,1,0
0.960544167,0,1,0,0
0.960544292,0,1,1,0
0.960544417,1,1,0,0
0.960544542,1,1,1,0
0.960544667,1,1,0,0
0.960544792,1,1,1,0
0.960544917,0,1,0,0
0.960544958,0,0,0,0
0.960545042,0,0,1,0
0.960545167,0,0,0,0
0.960554917,0,0,1,0
0.960555042,0,0,0,0
0.960555167,0,0,1,0
0.960555292,0,1,0,0
0.960555417,0,1,1,0
0.960555542,0,1,0,0
0.960555583,0,0,0,0
0.960555667,0,0,1,0
0.960555792,0,0,0,0
0.960555917,0,0,1,0
0.960556083,0,1,0,0
0.960556208,0,1,1,0
0.960556333,0,1,0,0
0.960556458,0,1,1,0
0.960556583,0,1,0,0
0.960556708,0,1,1,0
0.960556833,0,0,0,0
0.960564542,0,0,0,1
0.960608417,0,0,0,0
0.960623625,0,0,1,0
0.960623750,0,0,0,0
0.960623875,0,0,1,0
0.960624000,1,0,0,0
0.960624125,1,0,1,0
0.960624250,1,0,0,0
0.960624292,0,0,0,0
0.960624417,0,0,1,0
0.960624542,0,1,0,0
0.960624667,0,1,1,0
0.960624792,1,1,0,0
0.960624917,1,1,1,0
0.960625042,1,1,0,0
0.960625167,1,1,1,0
0.960625292,0,1,0,0
0.960625333,0,0,0,0
0.960625417,0,0,1,0
0.960625542,0,0,0,0
0.960646042,0,0,1,0
0.960646167,0,0,0,0
0.960646292,0,0,1,0
0.960646417,1,0,0,0
0.960646542,1,0,1,0
0.960646667,0,0,0,0
0.960646792,0,0,1,0
0.960646917,0,0,0,0
0.960647042,0,0,1,0
0.960647167,1,0,0,0
0.960647292,1,0,1,0
0.960647458,1,0,0,0
0.960647583,1,0,1,0
0.960647708,1,0,0,0
0.960647833,1,0,1,0
0.960647958,0,0,0,0
0.960657292,0,0,0,1
0.960707417,0,0,0,0
0.960721042,0,0,1,0
0.960721167,0,0,0,0
0.960721292,0,0,1,0
0.960721417,0,0,0,0
0.960721542,0,0,1,0
0.960721667,0,0,0,0
0.960721792,0,0,1,0
0.960721958,0,1,0,0
0.960722083,0,1,1,0
0.960722208,0,1,0,0
0.960722333,0,1,1,0
0.960722458,0,1,0,0
0.960722583,0,1,1,0
0.960722708,0,0,0,0
0.960722833,0,0,1,0
0.960722958,0,0,0,0
0.960733500,0,0,1,0
0.960733625,0,0,0,0
0.960733750,0,0,1,0
0.960733875,0,0,0,0
0.960734000,0,0,1,0
0.960734167,0,0,0,0
0.960734292,0,0,1,0
0.960734417,0,1,0,0
0.960734542,0,1,1,0
0.960734667,0,1,0,0
0.960734792,0,1,1,0
0.960734917,0,1,0,0
0.960735042,0,1,1,0
0.960735167,0,1,0,0
0.960735292,0,1,1,0
0.960735417,0,1,0,0
0.960735458,0,0,0,0
0.960742750,0,0,0,1
0.960796000,0,0,0,0
0.960811583,0,0,1,0
0.960811708,0,0,0,0
0.960811833,0,0,1,0
0.960811958,1,0,0,0
0.960812125,1,0,1,0
0.960812250,0,0,0,0
0.960812375,0,0,1,0
0.960812500,0,1,0,0
0.960812625,0,1,1,0
0.960812750,0,1,0,0
0.960812875,0,1,1,0
0.960813000,0,1,0,0
0.960813125,0,1,1,0
0.960813250,0,1,0,0
0.960813292,0,0,0,0
0.960813375,0,0,1,0
0.960813500,0,0,0,0
0.960835208,0,0,1,0
0.960835333,0,0,0,0
0.960835500,0,0,1,0
0.960835625,0,0,0,0
0.960835750,0,0,1,0
0.960835875,0,0,0,0
0.960836000,0,0,1,0
0.960836125,1,0,0,0
0.960836250,1,0,1,0
0.960836375,1,0,0,0
0.960836500,1,0,1,0
0.960836625,1,0,0,0
0.960836750,1,0,1,0
0.960836875,1,0,0,0
0.960837000,1,0,1,0
0.960837125,0,0,0,0
0.960848083,0,0,0,1
0.960879458,0,0,0,0
0.960896250,0,0,1,0
0.960896375,0,0,0,0
0.960896500,0,0,1,0
0.960896667,1,0,0,0
0.960896792,1,0,1,0
0.960896917,0,0,0,0
0.960897042,0,0,1,0
0.960897167,0,1,0,0
0.960897292,0,1,1,0
0.960897417,1,1,0,0
0.960897542,1,1,1,0
0.960897667,1,1,0,0
0.960897792,1,1,1,0
0.960897917,1,1,0,0
0.960897958,1,0,0,0
0.960898042,1,0,1,0
0.960898167,0,0,0,0
0.960919083,0,0,1,0
0.960919208,1,0,0,0
0.960919333,1,0,1,0
0.960919458,1,0,0,0
0.960919583,1,0,1,0
0.960919708,1,0,0,0
0.960919833,1,0,1,0
0.960919958,0,0,0,0
0.960920083,0,0,1,0
0.960920250,0,0,0,0
0.960920375,0,0,1,0
0.960920500,0,0,0,0
0.960920625,0,0,1,0
0.960920750,0,0,0,0
0.960920875,0,0,1,0
0.960921000,0,0,0,0
0.960931958,0,0,0,1
0.961011250,0,0,0,0
0.961026458,0,0,1,0
0.961026583,0,0,0,0
0.961026708,0,0,1,0
0.961026833,1,0,0,0
0.961026958,1,0,1,0
0.961027125,0,0,0,0
0.961027250,0,0,1,0
0.961027375,0,1,0,0
0.961027500,0,1,1,0
0.961027625,1,1,0,0
0.961027750,1,1,1,0
0.961027875,0,1,0,0
0.961028000,0,1,1,0
0.961028125,1,1,0,0
0.961028167,1,0,0,0
0.961028250,1,0,1,0
0.961028375,0,0,0,0
0.961050875,0,0,1,0
0.961051000,0,0,0,0
0.961051125,0,0,1,0
0.961051250,1,0,0,0
0.961051375,1,0,1,0
0.961051542,0,0,0,0
0.961051667,0,0,1,0
0.961051792,1,0,0,0
0.961051917,1,0,1,0
0.961052042,1,0,0,0
0.961052167,1,0,1,0
0.961052292,1,0,0,0
0.961052417,1,0,1,0
0.961052542,0,0,0,0
0.961052667,0,0,1,0
0.961052792,0,0,0,0
0.961061333,0,0,0,1
0.961098833,0,0,0,0
0.961111250,1,0,0,0
0.961111375,1,0,1,0
0.961111500,1,0,0,0
0.961111625,1,0,1,0
0.961111750,1,0,0,0
0.961111917,1,0,1,0
0.961112042,0,0,0,0
0.961112167,0,0,1,0
0.961112292,0,1,0,0
0.961112417,0,1,1,0
0.961112542,0,1,0,0
0.961112667,0,1,1,0
0.961112792,1,1,0,0
0.961112917,1,1,1,0
0.961113042,0,1,0,0
0.961113083,0,0,0,0
0.961113167,0,0,1,0
0.961113292,0,0,0,0
0.961119417,0,0,0,1
0.961147292,0,0,0,0
0.961160125,1,0,0,0
0.961160250,1,0,1,0
0.961160375,1,0,0,0
0.961160500,1,0,1,0
0.961160667,1,0,0,0
0.961160792,1,0,1,0
0.961160917,0,0,0,0
0.961161042,0,0,1,0
0.961161167,0,1,0,0
0.961161292,0,1,1,0
0.961161417,0,1,0,0
0.961161542,0,1,1,0
0.961161667,0,1,0,0
0.961161792,0,1,1,0
0.961161917,1,1,0,0
0.961161958,1,0,0,0
0.961162042,1,0,1,0
0.961162167,0,0,0,0
0.961169500,0,0,0,1
0.961307417,0,0,0,0
0.961324625,0,0,1,0
0.961324750,0,0,0,0
0.961324875,0,0,1,0
0.961325000,1,0,0,0
0.961325125,1,0,1,0
0.961325250,0,0,0,0
0.961325375,0,0,1,0
0.961325500,1,0,0,0
0.961325542,1,1,0,0
0.961325625,1,1,1,0
0.961325750,0,1,0,0
0.961325875,0,1,1,0
0.961326000,1,1,0,0
0.961326167,1,1,1,0
0.961326292,0,0,0,0
0.961326417,0,0,1,0
0.961326542,0,0,0,0
0.961346958,1,0,0,0
0.961347083,1,0,1,0
0.961347208,1,0,0,0
0.961347333,1,0,1,0
0.961347458,1,0,0,0
0.961347583,1,0,1,0
0.961347708,0,0,0,0
0.961347833,0,0,1,0
0.961347958,0,0,0,0
0.961348083,0,0,1,0
0.961348208,0,0,0,0
0.961348333,0,0,1,0
0.961348500,0,0,0,0
0.961348625,0,0,1,0
0.961348750,1,0,0,0
0.961348875,1,0,1,0
0.961349000,0,0,0,0
0.961349375,1,0,0,0
0.961349500,1,0,1,0
0.961349625,1,0,0,0
0.961349750,1,0,1,0
0.961349875,1,0,0,0
0.961350000,1,0,1,0
0.961350125,1,0,0,0
0.961350292,1,0,1,0
0.961350417,0,0,0,0
0.961350542,0,0,1,0
0.961350667,0,0,0,0
0.961350792,0,0,1,0
0.961350917,0,0,0,0
0.961351042,0,0,1,0
0.961351167,0,0,0,0
0.961351292,0,0,1,0
0.961351417,0,0,0,0
0.961351792,1,0,0,0
0.961351958,1,0,1,0
0.961352083,1,0,0,0
0.961352208,1,0,1,0
0.961352333,1,0,0,0
0.961352458,1,0,1,0
0.961352583,1,0,0,0
0.961352708,1,0,1,0
0.961352833,0,0,0,0
0.961352958,0,0,1,0
0.961353083,0,0,0,0
0.961353208,0,0,1,0
0.961353333,0,0,0,0
0.961353458,0,0,1,0
0.961353583,0,0,0,0
0.961353750,0,0,1,0
0.961353875,0,0,0,0
0.961354250,1,0,0,0
0.961354375,1,0,1,0
0.961354500,1,0,0,0
0.961354625,1,0,1,0
0.961354750,1,0,0,0
0.961354875,1,0,1,0
0.961355000,1,0,0,0
0.961355125,1,0,1,0
0.961355250,0,0,0,0
0.961355375,0,0,1,0
0.961355542,0,0,0,0
0.961355667,0,0,1,0
0.961355792,0,0,0,0
0.961355917,0,0,1,0
0.961356042,0,0,0,0
0.961356167,0,0,1,0
0.961356292,0,0,0,0
0.961356667,1,0,0,0
0.961356792,1,0,1,0
0.961356917,1,0,0,0
0.961357042,1,0,1,0
0.961357167,1,0,0,0
0.961357333,1,0,1,0
0.961357458,1,0,0,0
0.961357583,1,0,1,0
0.961357708,0,0,0,0
0.961357833,0,0,1,0
0.961357958,0,0,0,0
0.961358083,0,0,1,0
0.961358208,0,0,0,0
0.961358333,0,0,1,0
0.961358458,0,0,0,0
0.961358583,0,0,1,0
0.961358708,0,0,0,0
0.961367833,0,0,0,1
0.961410208,0,0,0,0
0.961426625,0,0,1,0
0.961426750,0,0,0,0
0.961426875,0,0,1,0
0.961427000,1,0,0,0
0.961427125,1,0,1,0
0.961427292,1,0,0,0
0.961427417,1,0,1,0
0.961427542,0,1,0,0
0.961427667,0,1,1,0
0.961427792,0,1,0,0
0.961427917,0,1,1,0
0.961428042,0,1,0,0
0.961428167,0,1,1,0
0.961428292,0,1,0,0
0.961428333,0,0,0,0
0.961428417,0,0,1,0
0.961428542,0,0,0,0
0.961437708,1,0,0,0
0.961437833,1,0,1,0
0.961437958,1,0,0,0
0.961438083,1,0,1,0
0.961438208,1,0,0,0
0.961438333,1,0,1,0
0.961438458,0,0,0,0
0.961438583,0,0,1,0
0.961438708,0,0,0,0
0.961438833,0,0,1,0
0.961438958,0,0,0,0
0.961439083,0,0,1,0
0.961439250,0,0,0,0
0.961439375,0,0,1,0
0.961439500,1,0,0,0
0.961439625,1,0,1,0
0.961439750,0,0,0,0
0.961440125,1,0,0,0
0.961440250,1,0,1,0
0.961440375,1,0,0,0
0.961440500,1,0,1,0
0.961440625,1,0,0,0
0.961440750,1,0,1,0
0.961440875,1,0,0,0
0.961441042,1,0,1,0
0.961441167,0,0,0,0
0.961441292,0,0,1,0
0.961441417,0,0,0,0
0.961441542,0,0,1,0
0.961441667,0,0,0,0
0.961441792,0,0,1,0
0.961441917,0,0,0,0
0.961442042,0,0,1,0
0.961442167,0,0,0,0
0.961442542,1,0,0,0
0.961442667,1,0,1,0
0.961442833,1,0,0,0
0.961442958,1,0,1,0
0.961443083,1,0,0,0
0.961443208,1,0,1,0
0.961443333,1,0,0,0
0.961443458,1,0,1,0
0.961443583,0,0,0,0
0.961443708,0,0,1,0
0.961443833,0,0,0,0
0.961443958,0,0,1,0
0.961444083,0,0,0,0
0.961444208,0,0,1,0
0.961444333,0,0,0,0
0.961444458,0,0,1,0
0.961444625,0,0,0,0
0.961445000,1,0,0,0
0.961445125,1,0,1,0
0.961445250,1,0,0,0
0.961445375,1,0,1,0
0.961445500,1,0,0,0
0.961445625,1,0,1,0
0.961445750,1,0,0,0
0.961445875,1,0,1,0
0.961446000,0,0,0,0
0.961446125,0,0,1,0
0.961446250,0,0,0,0
0.961446417,0,0,1,0
0.961446542,0,0,0,0
0.961446667,0,0,1,0
0.961446792,0,0,0,0
0.961446917,0,0,1,0
0.961447042,0,0,0,0
0.961447417,1,0,0,0
0.961447542,1,0,1,0
0.961447667,1,0,0,0
0.961447792,1,0,1,0
0.961447917,1,0,0,0
0.961448083,1,0,1,0
0.961448208,1,0,0,0
0.961448333,1,0,1,0
0.961448458,0,0,0,0
0.961448583,0,0,1,0
0.961448708,0,0,0,0
0.961448833,0,0,1,0
0.961448958,0,0,0,0
0.961449083,0,0,1,0
0.961449208,0,0,0,0
0.961449333,0,0,1,0
0.961449458,0,0,0,0
0.961456167,0,0,0,1
0.961497667,0,0,0,0
0.961512833,0,0,1,0
0.961513000,0,0,0,0
0.961513125,0,0,1,0
0.961513250,1,0,0,0
0.961513375,1,0,1,0
0.961513500,1,0,0,0
0.961513625,1,0,1,0
0.961513750,0,1,0,0
0.961513875,0,1,1,0
0.961514000,0,1,0,0
0.961514125,0,1,1,0
0.961514250,0,1,0,0
0.961514375,0,1,1,0
0.961514500,1,1,0,0
0.961514542,1,0,0,0
0.961514625,1,0,1,0
0.961514792,0,0,0,0
0.961535250,0,0,1,0
0.961535375,0,0,0,0
0.961535500,0,0,1,0
0.961535625,0,0,0,0
0.961535750,0,0,1,0
0.961535875,1,0,0,0
0.961536000,1,0,1,0
0.961536167,0,0,0,0
0.961536292,0,0,1,0
0.961536417,0,0,0,0
0.961536542,0,0,1,0
0.961536667,0,0,0,0
0.961536792,0,0,1,0
0.961536917,0,0,0,0
0.961537042,0,0,1,0
0.961537167,0,0,0,0
0.961546917,0,0,0,1
0.961657083,0,0,0,0
0.961674292,0,0,1,0
0.961674417,0,0,0,0
0.961674542,0,0,1,0
0.961674708,1,0,0,0
0.961674833,1,0,1,0
0.961674958,0,0,0,0
0.961675083,0,0,1,0
0.961675208,1,1,0,0
0.961675333,1,1,1,0
0.961675458,0,1,0,0
0.961675583,0,1,1,0
0.961675708,1,1,0,0
0.961675833,1,1,1,0
0.961675958,1,1,0,0
0.961676000,1,0,0,0
0.961676083,1,0,1,0
0.961676208,0,0,0,0
0.961684958,1,0,0,0
0.961685083,1,0,1,0
0.961685208,1,0,0,0
0.961685333,1,0,1,0
0.961685458,0,0,0,0
0.961685583,0,0,1,0
0.961685708,1,0,0,0
0.961685833,1,0,1,0
0.961685958,0,0,0,0
0.961686083,0,0,1,0
0.961686250,0,0,0,0
0.961686375,0,0,1,0
0.961686500,1,0,0,0
0.961686625,1,0,1,0
0.961686750,0,0,0,0
0.961686875,0,0,1,0
0.961687000,0,0,0,0
0.961687375,1,0,0,0
0.961687500,1,0,1,0
0.961687625,1,0,0,0
0.961687750,1,0,1,0
0.961687917,1,0,0,0
0.961688042,1,0,1,0
0.961688167,1,0,0,0
0.961688292,1,0,1,0
0.961688417,0,0,0,0
0.961688542,0,0,1,0
0.961688667,0,0,0,0
0.961688792,0,0,1,0
0.961688917,0,0,0,0
0.961689042,0,0,1,0
0.961689167,0,0,0,0
0.961689292,0,0,1,0
0.961689417,0,0,0,0
0.961689833,1,0,0,0
0.961689958,1,0,1,0
0.961690083,1,0,0,0
0.961690208,1,0,1,0
0.961690333,1,0,0,0
0.961690458,1,0,1,0
0.961690583,1,0,0,0
0.961690708,1,0,1,0
0.961690833,0,0,0,0
0.961690958,0,0,1,0
0.961691083,0,0,0,0
0.961691208,0,0,1,0
0.961691333,0,0,0,0
0.961691500,0,0,1,0
0.961691625,0,0,0,0
0.961691750,0,0,1,0
0.961691875,0,0,0,0
0.961692250,1,0,0,0
0.961692375,1,0,1,0
0.961692500,1,0,0,0
0.961692625,1,0,1,0
0.961692750,1,0,0,0
0.961692875,1,0,1,0
0.961693000,1,0,0,0
0.961693125,1,0,1,0
0.961693292,0,0,0,0
0.961693417,0,0,1,0
0.961693542,0,0,0,0
0.961693667,0,0,1,0
0.961693792,0,0,0,0
0.961693917,0,0,1,0
0.961694042,0,0,0,0
0.961694167,0,0,1,0
0.961694292,0,0,0,0
0.961694667,1,0,0,0
0.961694792,1,0,1,0
0.961694917,1,0,0,0
0.961695083,1,0,1,0
0.961695208,1,0,0,0
0.961695333,1,0,1,0
0.961695458,1,0,0,0
0.961695583,1,0,1,0
0.961695708,0,0,0,0
0.961695833,0,0,1,0
0.961695958,0,0,0,0
0.961696083,0,0,1,0
0.961696208,0,0,0,0
0.961696333,0,0,1,0
0.961696458,0,0,0,0
0.961696583,0,0,1,0
0.961696708,0,0,0,0
0.961704625,0,0,0,1
0.961750125,0,0,0,0
0.961766958,0,0,1,0
0.961767083,0,0,0,0
0.961767208,0,0,1,0
0.961767333,1,0,0,0
0.961767458,1,0,1,0
0.961767583,1,0,0,0
0.961767708,1,0,1,0
0.961767833,0,1,0,0
0.961767958,0,1,1,0
0.961768083,0,1,0,0
0.961768208,0,1,1,0
0.961768333,1,1,0,0
0.961768458,1,1,1,0
0.961768625,0,0,0,0
0.961768750,0,0,1,0
0.961768875,0,0,0,0
0.961788958,0,0,1,0
0.961789083,0,0,0,0
0.961789208,0,0,1,0
0.961789333,0,0,0,0
0.961789458,0,0,1,0
0.961789583,1,0,0,0
0.961789708,1,0,1,0
0.961789833,0,0,0,0
0.961789958,0,0,1,0
0.961790083,0,0,0,0
0.961790208,0,0,1,0
0.961790333,0,0,0,0
0.961790458,0,0,1,0
0.961790625,0,0,0,0
0.961790750,0,0,1,0
0.961790875,0,0,0,0
0.961800625,0,0,0,1
0.961839000,0,0,0,0
0.961851417,0,0,1,0
0.961851583,0,0,0,0
0.961851708,0,0,1,0
0.961851833,0,0,0,0
0.961851958,0,0,1,0
0.961852083,0,0,0,0
0.961852208,0,0,1,0
0.961852333,0,1,0,0
0.961852458,0,1,1,0
0.961852583,0,1,0,0
0.961852708,0,1,1,0
0.961852833,1,1,0,0
0.961852958,1,1,1,0
0.961853083,0,1,0,0
0.961853125,0,0,0,0
0.961853208,0,0,1,0
0.961853375,0,0,0,0
0.961863083,0,0,1,0
0.961863208,0,0,0,0
0.961863333,0,0,1,0
0.961863458,0,0,0,0
0.961863583,0,0,1,0
0.961863708,0,0,0,0
0.961863833,0,0,1,0
0.961863958,0,0,0,0
0.961864125,0,0,1,0
0.961864250,0,0,0,0
0.961864375,0,0,1,0
0.961864500,0,1,0,0
0.961864625,0,1,1,0
0.961864750,0,1,0,0
0.961864875,0,1,1,0
0.961865000,0,0,0,0
0.961871125,0,0,0,1
0.961901250,0,0,0,0
0.961917292,0,0,1,0
0.961917417,0,0,0,0
0.961917542,0,0,1,0
0.961917667,1,0,0,0
0.961917792,1,0,1,0
0.961917917,0,0,0,0
0.961918042,0,0,1,0
0.961918167,0,1,0,0
0.961918292,0,1,1,0
0.961918417,0,1,0,0
0.961918542,0,1,1,0
0.961918667,1,1,0,0
0.961918792,1,1,1,0
0.961918958,0,0,0,0
0.961919083,0,0,1,0
0.961919208,0,0,0,0
0.961939708,0,0,1,0
0.961939833,0,0,0,0
0.961939958,0,0,1,0
0.961940083,0,0,0,0
0.961940208,0,0,1,0
0.961940333,0,0,0,0
0.961940458,0,0,1,0
0.961940583,0,0,0,0
0.961940708,0,0,1,0
0.961940875,0,0,0,0
0.961941000,0,0,1,0
0.961941125,1,0,0,0
0.961941250,1,0,1,0
0.961941375,1,0,0,0
0.961941500,1,0,1,0
0.961941625,0,0,0,0
0.961952958,0,0,0,1
0.962038000,0,0,0,0
0.962054000,0,0,1,0
0.962054125,0,0,0,0
0.962054250,0,0,1,0
0.962054375,1,0,0,0
0.962054500,1,0,1,0
0.962054625,0,0,0,0
0.962054750,0,0,1,0
0.962054875,0,0,0,0
0.962054917,0,1,0,0
0.962055042,0,1,1,0
0.962055167,1,1,0,0
0.962055292,1,1,1,0
0.962055417,0,1,0,0
0.962055542,0,1,1,0
0.962055667,1,0,0,0
0.962055792,1,0,1,0
0.962055917,0,0,0,0
0.962080458,0,0,1,0
0.962080583,0,0,0,0
0.962080708,0,0,1,0
0.962080833,1,0,0,0
0.962080958,1,0,1,0
0.962081083,0,0,0,0
0.962081208,0,0,1,0
0.962081333,1,0,0,0
0.962081458,1,0,1,0
0.962081625,0,0,0,0
0.962081750,0,0,1,0
0.962081875,0,0,0,0
0.962082000,0,0,1,0
0.962082125,0,0,0,0
0.962082250,0,0,1,0
0.962082375,0,0,0,0
0.962092500,0,0,0,1
0.962153667,0,0,0,0
0.962168125,0,0,1,0
0.962168250,0,0,0,0
0.962168375,0,0,1,0
0.962168500,0,0,0,0
0.962168625,0,0,1,0
0.962168750,0,0,0,0
0.962168875,0,0,1,0
0.962169000,0,0,0,0
0.962169042,0,1,0,0
0.962169125,0,1,1,0
0.962169250,0,1,0,0
0.962169375,0,1,1,0
0.962169542,0,1,0,0
0.962169667,0,1,1,0
0.962169792,0,0,0,0
0.962169917,0,0,1,0
0.962170042,0,0,0,0
0.962181000,0,0,1,0
0.962181125,0,0,0,0
0.962181250,0,0,1,0
0.962181375,0,0,0,0
0.962181500,0,0,1,0
0.962181625,0,0,0,0
0.962181750,0,0,1,0
0.962181875,0,0,0,0
0.962181917,0,1,0,0
0.962182000,0,1,1,0
0.962182125,0,1,0,0
0.962182250,0,1,1,0
0.962182375,0,1,0,0
0.962182542,0,1,1,0
0.962182667,0,1,0,0
0.962182792,0,1,1,0
0.962182917,0,0,0,0
0.962190625,0,0,0,1
0.962219750,0,0,0,0
0.962234958,0,0,1,0
0.962235083,0,0,0,0
0.962235208,0,0,1,0
0.962235333,1,0,0,0
0.962235458,1,0,1,0
0.962235583,0,0,0,0
0.962235708,0,0,1,0
0.962235875,0,1,0,0
0.962236000,0,1,1,0
0.962236125,0,1,0,0
0.962236250,0,1,1,0
0.962236375,0,1,0,0
0.962236500,0,1,1,0
0.962236625,0,0,0,0
0.962236750,0,0,1,0
0.962236875,0,0,0,0
0.962258583,0,0,1,0
0.962258708,0,0,0,0
0.962258833,0,0,1,0
0.962258958,0,0,0,0
0.962259083,0,0,1,0
0.962259208,0,0,0,0
0.962259333,0,0,1,0
0.962259458,1,0,0,0
0.962259583,1,0,1,0
0.962259708,1,0,0,0
0.962259875,1,0,1,0
0.962260000,1,0,0,0
0.962260125,1,0,1,0
0.962260250,1,0,0,0
0.962260375,1,0,1,0
0.962260500,0,0,0,0
0.962270250,0,0,0,1
0.962299958,0,0,0,0
0.962314750,0,0,1,0
0.962314875,0,0,0,0
